博物馆信息统计(找不到内容的填NULL)								
Num(用于标识，留空)	M_Cname(中文名）	M_Ename(英文名)	M_Batch(批次）	Province(所属省份)	M_Address(地址)	M_web(官网）	微信公众号	备注
10101	故宫博物院	The Palace Museum	1	北京	北京市东城区景山前街4号	https://www.dpm.org.cn/Home.html		
10102	中国科学技术馆	China Science and Technology Museum	1	北京	北京市朝阳区北辰东路5号	https://cstm.cdstm.cn/		
10103	中国地质博物馆	The Geological Museum of China	1	北京	北京市西城区西四羊肉胡同15号	http://www.gmc.org.cn/		
10104	中国人民革命军事博物馆	Military Museum of the Chinese Peoples Revolution	1	北京	北京市海淀区复兴路9号	http://www.jb.mil.cn/		
10105	中国航空博物馆	China Aviation Museum	1	北京	北京市昌平区小汤山镇顺沙路	http://jz.chinamil.com.cn/datajzb/hb/	北京本地宝（回复”航空“）：bdbbeijing	官网目前打不开，地址信息不明，无专属公众号，但可在北京本地宝发“航空”获取一些信息。
10106	北京鲁迅博物馆/北京新文化运动纪念馆	Beijing Luxun Museum and The New Culture Movement Memorial of Beijing	1	北京	北京市西城区阜成门内大街宫门口二条19号/北京市东城区五四大街29号	http://www.luxunmuseum.com.cn/		两个名称可能是并列关系
10107	首都博物馆	Capital Museum	1	北京	北京市西城区复兴门外大街16号	http://www.capitalmuseum.org.cn/index.htm		
10108	北京自然博物馆	Beijing Museum of Natural History	1	北京	北京市东城区天桥南大街126号	http://www.bmnh.org.cn/		
10109	中国人民抗日战争纪念馆	Museum of the War of Peoples Resistance Against Japanese Aggression	1	北京	北京市西南卢沟桥畔宛平城内街101号	http://www.1937china.com/kzjng/		
10110	周口店北京人遗址博物馆	Zhoukoudian Peking Man Site Museum	1	北京	北京市房山区周口店大街1号	http://www.zkd.cn/	周口店北京人遗址博物馆：gh_39e22aa418b0	官网目前打不开，周口店北京人遗址博物馆是由周口店遗址博物馆和周口店遗址两部分组成，周口店遗址博物馆位于周口店遗址南侧约500米。（国家一级博物馆的词条给的名称似乎不准确，ps：给的是周口店遗址博物馆）
10201	中国国家博物馆	National Museum of China	2	北京	北京东城区东长安街16号天安门广场东侧	http://chnmuseum.cn/		
10202	全国农业展览馆/中国农业博物馆	National Agricultural Exhibition Center/China Agricultural Museum	2	北京	北京市朝阳区东三环北路16号	http://www.zgnybwg.com.cn/index.html		
10301	北京天文馆	Beijing Planetarium	3	北京	北京西直门外大街138号	http://www.bjp.org.cn/		
10302	恭王府	Prince Kungs Palace Museum	3	北京	北京市西城区前海西街17号	http://www.pgm.org.cn/		
10401	中国印刷博物馆	China Printing Museum	4	北京	北京市大兴区黄村兴华北路25号	http://www.printingmuseum.cn/Home/Index		
10402	中国电影博物馆	China National Film Museum	4	北京	北京市朝阳区南影路9号	http://www.cnfm.org.cn/		
10403	北京汽车博物馆	Beijing Auto Museum	4	北京	北京市丰台区南四环西路126号	http://www.automuseum.org.cn/		
10404	清华大学艺术博物馆	Tsinghua University Art Museum	4	北京	北京市海淀区清华园1号	http://www.artmuseum.tsinghua.edu.cn/		
20101	天津博物馆/天津文博院	Tianjin Museum	1	天津	天津市河西区平江道62号	https://www.tjbwg.com/cn/Index.aspx		
20102	天津自然博物馆	Tianjin Natural History Museum	1	天津	友谊路31号，银河广场(近平江道)　	https://www.tjnhm.com/		
20103	周恩来邓颖超纪念馆	The Memorial to Zhou Enlai and Deng Yingchao	1	天津	天津市南开区水上公园西路9号	http://www.mzhoudeng.com/home.aspx		
20401	平津战役纪念馆	无	4	天津	天津市红桥区平津道8号	http://www.pjcmm.com/home.aspx		无官方英文名
30101	河北博物院	Hebei Museum	1	河北	河北省石家庄市东大街4号	http://www.hebeimuseum.org.cn/		
30102	西柏坡纪念馆	Xibaipo Memorial	1	河北	河北省石家庄市平山县西柏坡镇西柏坡村西柏坡景区内	http://www.xbpjng.cn/index.aspx		
30301	邯郸市博物馆	Handan Museum	3	河北	河北省邯郸市人民东路399号邯郸文化艺术中心西侧	http://www.hdmuseum.org/		
40101	山西博物院	Shanxi Museum	1	山西	山西省太原市滨河西路北段13号	http://www.shanximuseum.com/sx/index/index.html		
40102	中国煤炭博物馆	The Coal Museum of China	1	山西	山西省太原市迎泽西大街2号 	http://www.coalmus.org.cn/		
40103	八路军太行纪念馆	无	1	山西	山西省长治市武乡县太行街363号	http://www.balujun.cn/		无官方英文名
40401	大同市博物馆	Datong Museum	4	山西	大同市御东太和路	http://www.datongmuseum.com/	大同市博物馆：datongmuseum	官网目前打不开，地址信息不明
40402	山西地质博物馆	ShanXi Museum of Geology	4	山西	山西省太原市滨河西路北段17号	http://www.sxgm.org/home/index/index.html		
40403	临汾市博物馆	Linfen Museum	4	山西	山西省临汾市滨河西路九州广场南端	http://www.linfenmuseum.com/		
50101	内蒙古博物院	lnner Mongolia Museum	1	内蒙古	内蒙古呼和浩特市新城区新华东街27号	http://www.nmgbwy.com/	内蒙古博物院：nmgbwy	官网目前打不开，公众号处于调试阶段，无法提供服务。
50301	鄂尔多斯博物馆	Ordos Museum	3	内蒙古	内蒙古鄂尔多斯市康巴什区文化西路5号	http://ordosbwg.org.cn/		
50401	赤峰博物馆	无	4	内蒙古	内蒙古赤峰市新城区富河街10A	http://www.cfbwg.org.cn/		官网英文版打不开404（中文可）
60101	辽宁省博物馆	Liaoning Provincial Museum	1	辽宁	辽宁省沈阳市浑南区智慧三街157号	http://www.lnmuseum.com.cn/		
60102	“九·一八”历史博物馆	The 9.18 Historical Museum	1	辽宁	辽宁省沈阳市大东区望花南街46号	http://918museum.org.cn/		
60103	旅顺博物馆	Lvshun Museum	1	辽宁	辽宁省大连市旅顺口区列宁街42号	http://lvshunmuseum.org/		
60301	沈阳故宫博物院	The Shenyang Palace Museum	3	辽宁	辽宁省沈阳市沈河区沈阳路171号	http://www.sypm.org.cn/		
60302	大连博物馆	Dalian Museum	3	辽宁	辽宁省大连市沙河口区会展路10号	https://www.dlmodernmuseum.com/		
60401	大连自然博物馆	Dalian Natural History Museum	4	辽宁	辽宁省大连市沙河口区黑石礁西村街40号（星海公园西侧）	http://www.dlnm.org.cn/		
70101	吉林省自然博物馆/东北师范大学自然博物馆	Jilin Province Museum of Natural History/Northeast Normal University Museum of Natural History	1	吉林	吉林省长春市净月大街2556号东北师范大学自然博物馆（东北师范大学净月校区东门对面）	http://museum.nenu.edu.cn/		
70201	吉林省博物院	Jilin Provincal Museum	2	吉林	吉林省长春市净月国家高新技术产业开发区永顺路1666号	http://www.jlmuseum.org/		
70301	伪满皇宫博物院	Palace Museum of The Manchurian Regime	3	吉林	吉林省长春市陕西路与光复北路交汇向东100米	https://www.wmhg.com.cn/index.html		
80101	东北烈士纪念馆	NULL	1	黑龙江	哈尔滨市南岗区一曼街241号	http://www.jn1948.cn/index.php?g=Portal&m=Party&a=index	东北烈士纪念馆：gh_a95b66f959c4	首页网站升级中（没说什么时候好）编办备案馆和内设馆有东北抗联博物馆/中共黑龙江历史纪念馆/伪满洲国哈尔滨警察厅旧址陈列馆
80102	铁人王进喜纪念馆	NULL	1	黑龙江	黑龙江省大庆市让胡路区中原路2号	NULL	铁人王进喜纪念馆：wjxjng	资料来源百度，未找到官网
80103	瑷珲历史陈列馆	Aihui History Museum	1	黑龙江	黑龙江省黑河市瑷珲镇萨布素街	http://www.aihuihistorymuseum.org.cn/index.aspx		
80204	黑龙江省博物馆	Museum of Heilongjiang Province	2	黑龙江	哈尔滨市南岗区红军街64号	http://www.hljmuseum.com/	黑龙江省博物馆互动平台：hljsbwghdpt	
80305	大庆市博物馆	NULL	3	黑龙江	大庆市高新开发区文苑街2号	http://www.dqsbwg.com/	大庆市博物馆：dqsbwg	有微信公众号查的官网，打不开
80406	黑龙江省民族博物馆	NULL	4	黑龙江	黑龙江哈尔滨市文庙街25号	http://www.hljsmzbwg.com/		
90101	上海博物馆	Shanghai Museum	1	上海	上海市黄浦区人民大道201号	https://www.shanghaimuseum.net/mu/frontend/pg/index		
90102	上海鲁迅纪念馆	Shanghai Lu Xun  Museum/Shanghai LuXun Museum	1	上海	上海市虹口区甜爱路200号甜爱路200号鲁迅公园内	http://www.luxunmuseum.cn/		
90103	中国共产党第一次全国代表大会会址纪念馆	Site of the first National Congress of the Communist Party of China	1	上海	上海市黄浦区黄陂南路374号	http://www.zgyd1921.com/zgyd/node3/index.html		
90204	上海科技馆	Shanghai Science & Technology Museum	2	上海	中国上海市浦东新区世纪大道2000号	http://www.sstm.org.cn/		
90305	陈云纪念馆	Shen Yun Memorial	3	上海	上海市青浦区练塘镇老朱枫公路3516号	http://www.cyjng.net/		
90406	中国航海博物馆	China Maritime Museum	4	上海	上海市浦东新区临港新城申港大道197号（近滴水湖）	https://www.shmmc.com.cn/		
90407	上海市龙华烈士陵园/龙华烈士纪念馆	Longhua Martyr Cemetery of Shanghai	4	上海	上海市龙华西路180号	https://www.slmmm.com/		
100101	南京博物院	Nanjing Museum	1	江苏	江苏省南京市玄武区中山东路321号	http://www.njmuseum.com/zh		
100102	侵华日军南京大屠杀遇难同胞纪念馆	The Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders	1	江苏	南京市水西门大街418号	http://www.19371213.com.cn/		
100103	南通博物苑	Nantong Museum	1	江苏	南通市濠南路19号	http://www.ntmuseum.com/		
100104	苏州博物馆	Suzhou Museum	1	江苏	苏州市东北街204号	https://www.szmuseum.com/		
100105	扬州博物馆/扬州中国雕版印刷博物馆	China Block Printing Museum at Yangzhou  · Yangzhou Museum	1	江苏	扬州市邗江区文昌西路468号（明月湖西侧）	https://www.yzmuseum.com/		
100306	常州博物馆	Changzhou Museum	3	江苏	常州市新北区龙城大道1288号	http://www.czmuseum.com/index		
