M_ID,M_Cname(中文名）
010101,故宫博物院
010102,中国科学技术馆
010103,中国地质博物馆
010104,中国人民革命军事博物馆
010105,中国航空博物馆
010106,北京鲁迅博物馆/北京新文化运动纪念馆
010107,首都博物馆
010108,北京自然博物馆
010109,中国人民抗日战争纪念馆
010110,周口店北京人遗址博物馆
010201,中国国家博物馆
010202,全国农业展览馆/中国农业博物馆
010301,北京天文馆
010302,恭王府
010401,中国印刷博物馆
010402,中国电影博物馆
010403,北京汽车博物馆
010404,清华大学艺术博物馆
020101,天津博物馆/天津文博院
020102,天津自然博物馆
020103,周恩来邓颖超纪念馆
020401,平津战役纪念馆
030101,河北博物院
030102,西柏坡纪念馆
030301,邯郸市博物馆
040101,山西博物院
040102,中国煤炭博物馆
040103,八路军太行纪念馆
040401,大同市博物馆
040402,山西地质博物馆
040403,临汾市博物馆
050101,内蒙古博物院
050301,鄂尔多斯博物馆
050401,赤峰博物馆
060101,辽宁省博物馆
060102,“九·一八”历史博物馆
060103,旅顺博物馆
060301,沈阳故宫博物院
060302,大连博物馆
060401,大连自然博物馆
070101,吉林省自然博物馆/东北师范大学自然博物馆
070201,吉林省博物院
070301,伪满皇宫博物院
080101,东北烈士纪念馆
080102,铁人王进喜纪念馆
080103,瑷珲历史陈列馆
080204,黑龙江省博物馆
080305,大庆市博物馆
080406,黑龙江省民族博物馆
090101,上海博物馆
090102,上海鲁迅纪念馆
090103,中国共产党第一次全国代表大会会址纪念馆
090204,上海科技馆
090305,陈云纪念馆
090406,中国航海博物馆
090407,上海市龙华烈士陵园/龙华烈士纪念馆
100101,南京博物院
100102,侵华日军南京大屠杀遇难同胞纪念馆
100103,南通博物苑
100104,苏州博物馆
100105,扬州博物馆/扬州中国雕版印刷博物馆
100306,常州博物馆
100307,南京市博物总馆
100408,南京中国科举博物馆
100409,南京雨花台烈士纪念馆/南京雨花台烈士陵园
100410,无锡博物院
100411,徐州博物馆/徐州市文物考古研究所
100412,常熟博物馆
100413,镇江博物馆
110101,浙江省博物馆
110202,浙江自然博物院
110203,中国丝绸博物馆
110204,宁波博物馆
110305,杭州博物馆
110306,温州博物馆
110407,西湖博物馆总馆
110408,中国茶叶博物馆
110409,杭州工艺美术博物馆
110410,天一阁博物院
110411,中国港口博物馆
110412,南湖革命纪念馆
110413,舟山博物馆
120101,安徽博物院
120302,中国徽州文化博物馆
120403,安徽省地质博物馆
120404,隋唐大运河博物馆/淮北市博物馆
120405,宿州市博物馆
120406,蚌埠市博物馆
130101,福建博物院
130102,古田会议纪念馆
130103,福建省泉州海外交通史博物馆
130104,中国闽台缘博物馆
130305,中央苏区（闽西）历史博物馆
140101,井冈山革命博物馆
140102,江西省博物馆
140103,瑞金中央革命根据地纪念馆/瑞金中央革命根据地历史博物馆
140104,南昌八一起义纪念馆
140305,安源路矿工工人运动纪念馆
140406,八大山人纪念馆
140407,九江市博物馆
140408,江西省庐山博物馆
140409,赣州市博物馆
140410,景德镇中国陶瓷博物馆
140411,萍乡博物馆
150101,青岛市博物馆
150102,中国甲午战争博物馆
150103,青州博物馆
150201,山东博物馆
150301,烟台市博物馆
150302,潍坊市博物馆
150401,孔子博物馆
150402,济南市博物馆
150403,济南市章丘区博物馆 / 章丘市博物馆
150404,山东大学博物馆
150405,青岛啤酒博物馆
150406,青岛山炮台遗址展览馆
150407,淄博市陶瓷博物馆
150408,齐文化博物院
150409,滕州市博物馆
150410,滕州汉画像石馆
150411,济宁市博物馆
150412,临沂市博物馆
160101,河南博物院
160102,郑州博物馆
160103,洛阳博物馆
160104,南阳汉画馆
160201,开封市博物馆
160202,鄂豫皖苏区首府革命博物馆
160401,中国文字博物馆
160402,平顶山博物馆
160403,安阳博物馆
170107,湖北省博物馆 / 湖北省文物考古研究所
170102,荆州博物馆
170103,武汉博物馆
170301,辛亥革命武昌起义纪念馆 / 辛亥革命研究所
170302,中山舰博物馆
170401,武汉革命博物馆
170402,长江文明馆
170403,宜昌博物馆
170404,随州博物馆
180101,湖南省博物馆
180102,韶山毛泽东故居纪念馆
180103,刘少奇同志纪念馆 / 刘少奇故里管理局
180301,长沙简牍博物馆
180401,长沙博物馆
180402,胡耀邦故居
190101,广东省博物馆
190102,西汉南越王博物馆
190103,孙中山故居纪念馆
190201,深圳博物馆
190301,广州博物馆
190302,广东民间工艺博物馆
190401,广州艺术博物院
190402,中国客家博物馆
190403,鸦片战争博物馆
190405,广东海上丝绸之路博物馆
200101,广西壮族自治区博物馆
200301,广西民族博物馆
200401,桂林博物馆
210201,海南省博物馆
210204,中国（海南）南海博物馆
230101,自贡恐龙博物馆
230102,三星堆博物馆
230103,成都武侯祠博物馆
230104,邓小平故居陈列馆
230105,成都杜甫草堂博物馆
230201,四川博物院
230202,金沙遗址博物馆
230301,自贡市盐业历史博物馆
230401,成都博物馆
230402,四川省建川博物馆
230403,5·12汶川特大地震纪念馆
230404,朱德同志故居纪念馆
240101,遵义会议纪念馆
240401,贵州省博物馆
240402,贵州省民族博物馆
240403,四渡赤水纪念馆
250101,云南省博物馆
250102,云南民族博物馆
220101,重庆中国三峡博物馆
220201,重庆红岩革命历史博物馆
220301,重庆自然博物馆
220401,重庆三峡移民纪念馆
220402,大足石刻博物馆
260101,西藏博物馆
270101,陕西历史博物馆
270102,秦始皇兵马俑博物馆
270103,延安革命纪念馆
270104,汉阳陵博物馆
270105,西安碑林博物馆
270106,西安半坡博物馆
270201,西安博物院
270301,宝鸡青铜器博物院
270302,西安大唐西市博物馆
280101,甘肃省博物馆
280301,天水市博物馆
280302,敦煌研究院
280401,平凉市博物馆
300101,固原博物馆
300201,宁夏博物馆
290301,青海省博物馆
290401,中国藏医药文化博物馆
310101,新疆维吾尔自治区博物馆
310301,吐鲁番博物馆
